Day,Start Time,End Time,Subject,Location,Instructor
Monday,08:00,09:30,Mathematics,Room 101,Prof. Anderson
Monday,09:45,11:15,English Literature,Room 203,Prof. Smith
Monday,11:30,13:00,Chemistry,Lab 1,Dr. Johnson
Monday,14:00,15:30,History,Room 105,Prof. Williams
Tuesday,08:00,09:30,Physics,Lab 2,Dr. Brown
Tuesday,09:45,11:15,Spanish,Room 201,Prof. Garcia
Tuesday,11:30,13:00,Computer Science,Computer Lab,Prof. Lee
Tuesday,14:00,15:30,Physical Education,Gymnasium,Coach Davis
Wednesday,08:00,09:30,Biology,Lab 3,Dr. Martinez
Wednesday,09:45,11:15,Mathematics,Room 101,Prof. Anderson
Wednesday,11:30,13:00,Art,Art Studio,Prof. Taylor
Wednesday,14:00,15:30,Music,Music Room,Prof. Wilson
Thursday,08:00,09:30,Geography,Room 104,Prof. Moore
Thursday,09:45,11:15,Chemistry,Lab 1,Dr. Johnson
Thursday,11:30,13:00,English Literature,Room 203,Prof. Smith
Thursday,14:00,15:30,Economics,Room 302,Prof. Clark
Friday,08:00,09:30,Computer Science,Computer Lab,Prof. Lee
Friday,09:45,11:15,History,Room 105,Prof. Williams
Friday,11:30,13:00,Physics,Lab 2,Dr. Brown
Friday,14:00,15:30,Social Studies,Room 206,Prof. White
